Ключ,Задача,Создано,Обновлено
ORG-7,Определиться с дизайном фона проекта,22 февраля 2023 в 02:23,26 февраля 2023 в 14:39
ORG-17,Сделать готовый рабочий черновой вариант приложения,24 февраля 2023 в 21:02,24 февраля 2023 в 21:03
ORG-16,Сделать готовый рабочий черновой вариант приложения,24 февраля 2023 в 21:02,24 февраля 2023 в 21:02
ORG-15, Починить картинки для кнопок,24 февраля 2023 в 15:53,24 февраля 2023 в 15:53
ORG-14,Починить картинки для кнопок,24 февраля 2023 в 15:52,24 февраля 2023 в 15:53
ORG-4,Создать первый рабочий макет программы,22 февраля 2023 в 02:16,24 февраля 2023 в 15:51
ORG-3,Создать первый рабочий макет программы,22 февраля 2023 в 02:15,24 февраля 2023 в 15:50
ORG-13,Проверить проект на соответствие требованиям для его успешной защиты,22 февраля 2023 в 18:33,23 февраля 2023 в 18:22
ORG-12,Создать иконку приложения проекта,22 февраля 2023 в 18:13,22 февраля 2023 в 18:29
ORG-10,Написать курсовой проект,22 февраля 2023 в 17:51,22 февраля 2023 в 17:56
ORG-11,Оформить страницу проекта в Git,22 февраля 2023 в 17:52,22 февраля 2023 в 17:52
ORG-9,Создать презентацию для проекта,22 февраля 2023 в 17:28,22 февраля 2023 в 17:28
ORG-8,Написать ТЗ согласно госту,22 февраля 2023 в 13:20,22 февраля 2023 в 13:20
ORG-5,Создать дизайн кнопок для проекта,22 февраля 2023 в 02:19,22 февраля 2023 в 02:22
ORG-6,Придумать название для проекта,22 февраля 2023 в 02:21,22 февраля 2023 в 02:21
ORG-2,Определиться с приложением для работы,22 февраля 2023 в 02:10,22 февраля 2023 в 02:12
ORG-1,Определиться с приложением для работы,21 февраля 2023 в 22:59,22 февраля 2023 в 02:10
